,Track Name,Artist,Track ID,Artist ID,Genres
86,Love Is a Bitch,Two Feet,6MiVIH3fQlmz44jGx2DXn4,5sWHDYs0csV6RS48xBl0tH,"['indie poptimism', 'modern rock']"
87,Solo Dancing,Indiana,756La6nWDta09ROtNohCil,7a5Srm7U661DotL6VWRmYk,[]
88,Cranium,Slothrust,6UUhrj3mUGuwjOwg7iw0to,6Nwhmo3adbTqPMCsgBgkf4,[]
89,Waterfalls Coming Out Your Mouth,Glass Animals,7s0FCUlKnSFjFPzcIJmkwo,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
90,Glory Box,Portishead,3Ty7OTBNSigGEpeW2PqcsC,6liAMWkVf5LH7YR9yfFy1Y,"['alternative rock', 'art pop', 'dark pop', 'electronica', 'laboratorio', 'trip hop']"
91,No Diggity,Blackstreet,6MdqqkQ8sSC0WB4i8PyRuQ,2P3cjUru4H3fhSXXNxE9kA,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']"
92,You Got Me,The Roots,4pdLZsxq0y5oJDb6Cxlokw,78xUyw6FkVZrRAtziFdtdu,"['conscious hip hop', 'east coast hip hop', 'hip hop', 'philly rap', 'political hip hop']"
93,Don't Let Go (Love),En Vogue,06TuMCjDEYjTOJScCRzmjf,5fikk4h5qbEebqK2Fc6e48,"['contemporary r&b', 'girl group', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
94,"Bills, Bills, Bills",Destiny's Child,1Oi2zpmL81Q0yScF1zxaC0,1Y8cdNmUJH7yBTd9yOvr5i,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']"
95,That's The Way Love Goes,Janet Jackson,29rQJydAlO0uMyWvRIZxQg,4qwGe91Bz9K2T8jXTZ815W,"['dance pop', 'r&b', 'urban contemporary']"
96,Fortunate Son,Creedence Clearwater Revival,4BP3uh0hFLFRb5cjsgLqDh,3IYUhFvPQItj6xySrBmZkd,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']"
